Plot,Feature,Package,Function,Figure
[Scatter Plot](#scatter-plot),"* Shows the relationship between two continuous variables
* The colour and size of point can indicate a third variable",ggplot2,geom_point(),scatter_plot
[Line Chart](#line-chart),"* Shows change in a continuous variable
* Suitable for time series",ggplot2,geom_line(),line_plot
[Bar Chart](#bar-chart),"* Shows statistics across categories
* Different colours can represent categories",ggplot2,geom_bar(),bar_chart
[Histogram](#histogram),"* Shows the statistical distribution of a continuous variable
* With enough bins, it approximates a density plot",ggplot2,geom_histogram(),histogram
[Density Plot](#density-plot),"* Shows the statistical distribution of a continuous variable
* The total area under the curve equals 1",ggplot2,geom_density(),density_plot
[Pie Chart](#pie-chart),"* Shows the proportion of each category in the data
* Sector area represents proportions",ggplot2,geom_bar() + coord_polar(),pie_chart
[Lollipop Plot](#lollipop-plot),"* Similar to a bar chart
* Compared with a pie chart, it can present values more precisely",ggplot2,geom_segment(),lollipop_plot
[Box Plot](#box-plot),"* Shows the statistical distribution of a continuous variable
* Reveals quartiles",ggplot2,geom_boxplot(),box_plot
[Violin Plot](#violin-plot),"* Shows the statistical distribution of a continuous variable
* Similar to a box plot
* Helps observe concentration in the data",ggplot2,geom_violin(),violin_plot
[Bubble Plot](#bubble-plot),"* Shows the relationship among three variables
* Similar to a scatter plot
* The third variable can be categorical or continuous",ggplot2,geom_point(),bubble_plot
[Ridgeline Plot](#ridgeline-plot),"* Shows the statistical distribution of multiple continuous variables
* Similar to a density plot
* Allows comparison of concentration across variables",**ggridges**,geom_density_ridges(),ridgeline_plot
[Heat Plot](#heat-plot),"* Shows the relative magnitude of values across the dataset
* Can be used to show correlations between variables","ggplot2
stats",geom_tile(),heat_plot
[Treemap](#treemap),"* Shows the proportion of each category
* Rectangle area represents proportions","**treemapify**
treemap",geom_treemap(),tree_map
[Sankey Diagram](#sankey-diagram),"* Shows flow volumes between categories
* Directional in nature
* Line width represents flow volume","**ggalluvial**
ggsankey",geom_density_sankes(),sankey_diagram
[Radar Chart](#radar-chart),"* Shows the weighting or profile of multiple variables
* Helps compare relative strengths across categories","**ggradar**
fmsb",ggradar(),radar_plot
[Ternary Plot](#ternary-plot),"* Shows compositional proportions among three continuous variables
* Helps observe category tendencies","**ggtern**
Ternary",geom_ternary(),ternary_plot
